"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,Г,96803,5859.0000,2,04/01/12
101,Д,98010,8572560.7500,1,04/01/12
101,Д,98050,7270693.7500,2,04/01/12
101,Д,98070,1301867.0000,2,04/01/12
101,В,99998,330969.0000,1,04/01/12
101,В,99999,1640542.0000,2,04/01/12
103,А,10208,1000000.0000,2,04/01/12
103,А,10603,0.0000,2,04/01/12
103,А,10701,130000.0000,2,04/01/12
103,А,10801,1023669.0000,2,04/01/12
103,А,20202,142643.0000,1,04/01/12
103,А,20209,0.0000,1,04/01/12
103,А,30102,354348.0000,1,04/01/12
103,А,30110,10724.0000,1,04/01/12
103,А,30114,226203.0000,1,04/01/12
103,А,30126,1761.0000,2,04/01/12
103,А,30202,42816.0000,1,04/01/12
103,А,30204,53924.0000,1,04/01/12
103,А,30220,0.0000,2,04/01/12
103,А,30232,0.0000,2,04/01/12
103,А,30233,0.0000,1,04/01/12
103,А,30402,1.0000,1,04/01/12
103,А,30602,24.0000,1,04/01/12
103,А,31302,0.0000,2,04/01/12
103,А,31303,0.0000,2,04/01/12
103,А,32002,0.0000,1,04/01/12
103,А,32003,800000.0000,1,04/01/12
103,А,32004,300000.0000,1,04/01/12
103,А,32401,1254.0000,1,04/01/12
103,А,32403,1254.0000,2,04/01/12
103,А,32501,1.0000,1,04/01/12
103,А,32505,1.0000,2,04/01/12
103,А,40503,0.0000,2,04/01/12
103,А,40602,67977.0000,2,04/01/12
103,А,40701,100460.0000,2,04/01/12
103,А,40702,2051095.0000,2,04/01/12
103,А,40703,5210.0000,2,04/01/12
103,А,40802,24964.0000,2,04/01/12
103,А,40804,0.0000,2,04/01/12
103,А,40805,156.0000,2,04/01/12
103,А,40807,318898.0000,2,04/01/12
103,А,40813,0.0000,2,04/01/12
103,А,40814,287.0000,2,04/01/12
103,А,40817,28896.0000,2,04/01/12
103,А,40820,532.0000,2,04/01/12
103,А,40821,19070.0000,2,04/01/12
103,А,40906,0.0000,2,04/01/12
103,А,40911,0.0000,2,04/01/12
103,А,42301,192891.0000,2,04/01/12
103,А,42304,56.0000,2,04/01/12
103,А,42305,16688.0000,2,04/01/12
103,А,42306,1196136.0000,2,04/01/12
103,А,42309,708.0000,2,04/01/12
103,А,42601,303.0000,2,04/01/12
103,А,42605,220.0000,2,04/01/12
103,А,42606,25580.0000,2,04/01/12
103,А,42609,8.0000,2,04/01/12
103,А,44907,55000.0000,1,04/01/12
103,А,44915,550.0000,2,04/01/12
103,А,45203,544000.0000,1,04/01/12
103,А,45206,603220.0000,1,04/01/12
103,А,45207,2503634.0000,1,04/01/12
103,А,45208,569943.0000,1,04/01/12
103,А,45215,175049.0000,2,04/01/12
103,А,45505,146128.0000,1,04/01/12
103,А,45506,1447857.0000,1,04/01/12
103,А,45507,460646.0000,1,04/01/12
103,А,45515,20304.0000,2,04/01/12
103,А,45706,3350.0000,1,04/01/12
103,А,45715,34.0000,2,04/01/12
103,А,45815,3018.0000,1,04/01/12
103,А,45818,2285.0000,2,04/01/12
103,А,45915,0.0000,1,04/01/12
103,А,45918,0.0000,2,04/01/12
103,А,47405,0.0000,2,04/01/12
103,А,47407,0.0000,2,04/01/12
103,А,47408,0.0000,1,04/01/12
103,А,47411,9417.0000,2,04/01/12
103,А,47416,2747.0000,2,04/01/12
103,А,47422,21.0000,2,04/01/12
103,А,47423,2307.0000,1,04/01/12
103,А,47425,11820.0000,2,04/01/12
103,А,47426,0.0000,2,04/01/12
103,А,47427,72569.0000,1,04/01/12
103,А,50307,103090.0000,1,04/01/12
103,А,50706,0.0000,1,04/01/12
103,А,50721,0.0000,1,04/01/12
103,А,51402,39795.0000,1,04/01/12
103,А,51404,278734.0000,1,04/01/12
103,А,51405,350315.0000,1,04/01/12
103,А,51406,647021.0000,1,04/01/12
103,А,52301,0.0000,2,04/01/12
103,А,52304,585000.0000,2,04/01/12
103,А,52305,123291.0000,2,04/01/12
103,А,52306,2116196.0000,2,04/01/12
103,А,52307,304282.0000,2,04/01/12
103,А,52501,13474.0000,2,04/01/12
103,А,60301,1013.0000,2,04/01/12
103,А,60302,9970.0000,1,04/01/12
103,А,60305,3091.0000,2,04/01/12
103,А,60307,0.0000,2,04/01/12
103,А,60308,3151.0000,1,04/01/12
103,А,60309,600.0000,2,04/01/12
103,А,60310,177.0000,1,04/01/12
103,А,60311,0.0000,2,04/01/12
103,А,60312,1365.0000,1,04/01/12
103,А,60314,933.0000,1,04/01/12
103,А,60401,88659.0000,1,04/01/12
103,А,60601,18689.0000,2,04/01/12
103,А,60701,0.0000,1,04/01/12
103,А,61002,153.0000,1,04/01/12
103,А,61008,381.0000,1,04/01/12
103,А,61009,471.0000,1,04/01/12
103,А,61011,68808.0000,1,04/01/12
103,А,61210,0.0000,1,04/01/12
103,А,61304,492.0000,2,04/01/12
103,А,61403,2074.0000,1,04/01/12
103,А,70601,314916.0000,2,04/01/12
103,А,70603,1032581.0000,2,04/01/12
103,А,70605,1.0000,2,04/01/12
103,А,70606,150715.0000,1,04/01/12
103,А,70608,1030592.0000,1,04/01/12
103,А,70610,11.0000,1,04/01/12
103,А,70611,16678.0000,1,04/01/12
103,А,70701,1063102.0000,2,04/01/12
103,А,70703,5135820.0000,2,04/01/12
103,А,70705,18.0000,2,04/01/12
