"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
3349,11000,,,154013826,04/01/25
2306,11000,,,9560797,04/01/25
2495,11000,,,2939911,04/01/25
2490,11000,,,2416323,04/01/25
646,11000,,,789523,04/01/25
3340,11000,,,6090542,04/01/25
3544,11000,,,25259,04/01/25
316,11000,,,17277936,04/01/25
2990,11000,,,37929,04/01/25
3303,11000,,,1545948,04/01/25
2664,11000,,,417998,04/01/25
2682,11000,,,302886,04/01/25
665,11000,,,292886,04/01/25
2216,11000,,,5358003,04/01/25
3247,11000,,,189893,04/01/25
3531,11000,,,617844,04/01/25
1720,11000,,,371903,04/01/25
2722,11000,,,30498,04/01/25
1052,11000,,,294754,04/01/25
3341,11000,,,82218,04/01/25
1115,11000,,,142094,04/01/25
3505,11000,,,17048,04/01/25
3176,11000,,,195825,04/01/25
2879,11000,,,3630418,04/01/25
1151,11000,,,56651,04/01/25
3314,11000,,,34499,04/01/25
1927,11000,,,2370464,04/01/25
2721,11000,,,202495,04/01/25
2996,11000,,,93827,04/01/25
3407,11000,,,1889193,04/01/25
2530,11000,,,363272,04/01/25
3417,11000,,,488324,04/01/25
2268,11000,,,23090232,04/01/25
2,11000,,,71235,04/01/25
2776,11000,,,648030,04/01/25
328,11000,,,54441721,04/01/25
2880,11000,,,983835,04/01/25
2905,11000,,,88891,04/01/25
2518,11000,,,8462750,04/01/25
1809,11000,,,85944,04/01/25
2168,11000,,,8245224,04/01/25
3136,11000,,,37228,04/01/25
3515,11000,,,3599514,04/01/25
330,11000,,,108306,04/01/25
1885,11000,,,4066286,04/01/25
2638,11000,,,397731,04/01/25
3522,11000,,,2466159,04/01/25
3223,11000,,,800795,04/01/25
2914,11000,,,1919407,04/01/25
685,11000,,,49092,04/01/25
1067,11000,,,2754945,04/01/25
2860,11000,,,407323,04/01/25
3292,11000,,,52088664,04/01/25
3269,11000,,,655565,04/01/25
3511,11000,,,109463,04/01/25
3473,11000,,,671994,04/01/25
760,11000,,,402249,04/01/25
2964,11000,,,148771,04/01/25
3546,11000,,,143348,04/01/25
3520,11000,,,20349,04/01/25
2645,11000,,,358857,04/01/25
3379,11000,,,67921,04/01/25
2506,11000,,,1415381,04/01/25
3175,11000,,,228341,04/01/25
3300,11000,,,900267,04/01/25
990,11000,,,103089,04/01/25
2507,11000,,,921365,04/01/25
1637,11000,,,3360014,04/01/25
3252,11000,,,7027122,04/01/25
2034,11000,,,69658,04/01/25
435,11000,,,430067,04/01/25
2275,11000,,,34081198,04/01/25
3551,11000,,,3136,04/01/25
2790,11000,,,11940781,04/01/25
3470,11000,,,2133370,04/01/25
3517,11000,,,0,01/01/25
3294,11000,,,4990618,04/01/25
2208,11000,,,358989,04/01/25
3245,11000,,,411358,04/01/25
249,11000,,,717200,04/01/25
1978,11000,,,187232083,04/01/25
1973,11000,,,146553,04/01/25
1307,11000,,,1361778,04/01/25
3490,11000,,,195362,04/01/25
1370,11000,,,126797,04/01/25
3463,11000,,,185472,04/01/25
3172,11000,,,202725,04/01/25
478,11000,,,239011,04/01/25
2559,11000,,,1888447,04/01/25
3235,11000,,,710250,04/01/25
2312,11000,,,112161956,04/01/25
1288,11000,,,356930,04/01/25
1966,11000,,,1736815,04/01/25
3184,11000,,,16401,04/01/25
2726,11000,,,1053,04/01/25
106,11000,,,127304,04/01/25
1329,11000,,,1127568,04/01/25
2438,11000,,,101368,04/01/25
604,11000,,,346892,04/01/25
493,11000,,,3666683,04/01/25
3395,11000,,,1296903,04/01/25
1637,12000,,,31599,04/01/25
3465,12000,,,0,04/01/25
2225,12000,,,1778697,04/01/25
2838,12000,,,1225,04/01/25
3452,12000,,,0,04/01/25
3231,12000,,,94,04/01/25
3551,12000,,,0,04/01/25
2790,12000,,,451267,04/01/25
2880,12000,,,0,04/01/25
3510,12000,,,0,04/01/25
3027,12000,,,1543779,04/01/25
2590,12000,,,244309,04/01/25
2816,12000,,,350028,04/01/25
3494,12000,,,0,04/01/25
3001,12000,,,117788,04/01/25
857,12000,,,108,04/01/25
1343,12000,,,1156485,04/01/25
2609,12000,,,193,04/01/25
53,12000,,,10557,04/01/25
3235,12000,,,0,04/01/25
2664,12000,,,6868,04/01/25
3255,12000,,,600349,04/01/25
3512,12000,,,0,04/01/25
2883,12000,,,64,04/01/25
2995,12000,,,7326,04/01/25
2763,12000,,,15303,04/01/25
1720,12000,,,484,04/01/25
3540,12000,,,0,04/01/25
3395,12000,,,187,04/01/25
2879,12000,,,0,04/01/25
2964,12000,,,465,04/01/25
3314,12000,,,0,04/01/25
2494,12000,,,0,04/01/25
2996,12000,,,17729,04/01/25
480,12000,,,10730,04/01/25
1818,12000,,,6,04/01/25
2997,12000,,,6358,04/01/25
1049,12000,,,1845,04/01/25
85,12000,,,340,04/01/25
3257,12000,,,1034,04/01/25
3318,12000,,,0,04/01/25
2867,12000,,,6195,04/01/25
415,12000,,,2715,04/01/25
3436,12000,,,4595,04/01/25
438,12000,,,0,04/01/25
1376,12000,,,2665,04/01/25
3415,12000,,,0,04/01/25
3532,12000,,,0,01/01/25
3416,12000,,,20,04/01/25
3533,12000,,,0,04/01/25
2518,12000,,,53089,04/01/25
1581,12000,,,41641,04/01/25
2208,12000,,,1456,04/01/25
2748,12000,,,2031,04/01/25
3333,12000,,,228,04/01/25
646,12000,,,12994,04/01/25
3547,12000,,,0,04/01/25
2306,12000,,,3614312,04/01/25
2546,12000,,,289372,04/01/25
330,12000,,,0,04/01/25
2990,12000,,,76,04/01/25
3303,12000,,,2380,04/01/25
1659,12000,,,0,04/01/25
2673,12000,,,10928042,04/01/25
3543,12000,,,0,04/01/25
121,12000,,,0,04/01/25
3247,12000,,,865,04/01/25
2789,12000,,,32649,04/01/25
1,12000,,,60198,04/01/25
1067,12000,,,40322,04/01/25
2807,12000,,,5265,04/01/25
875,12000,,,301,04/01/25
2368,12000,,,0,04/01/25
1781,12000,,,123,04/01/25
3173,12000,,,8,04/01/25
842,12000,,,0,04/01/25
965,12000,,,16170,04/01/25
3379,12000,,,0,04/01/25
3175,12000,,,956,04/01/25
3185,12000,,,0,04/01/25
3293,12000,,,0,04/01/25
3403,12000,,,50410,04/01/25
436,12000,,,133456,04/01/25
3479,12000,,,201,04/01/25
2905,12000,,,4504,04/01/25
804,12000,,,30,04/01/25
3535,12000,,,0,04/01/25
3136,12000,,,90,04/01/25
843,12000,,,25290,04/01/25
3508,12000,,,0,04/01/25
2495,12000,,,2444,04/01/25
2998,12000,,,94339,04/01/25
3116,12000,,,0,04/01/25
2216,12000,,,5886,04/01/25
2638,12000,,,78,04/01/25
554,12000,,,1450,04/01/25
575,12000,,,0,04/01/25
2440,12000,,,159518,04/01/25
2568,12000,,,0,04/01/25
2534,12000,,,820,04/01/25
2312,12000,,,23465153,04/01/25
2245,12000,,,521,04/01/25
3161,12000,,,223,04/01/25
3538,12000,,,0,04/01/25
3292,12000,,,1187833,04/01/25
538,12000,,,0,04/01/25
604,12000,,,26780,04/01/25
3505,12000,,,0,04/01/25
492,12000,,,494,04/01/25
760,12000,,,1501,04/01/25
2707,12000,,,37945,04/01/25
3194,12000,,,862,04/01/25
1151,12000,,,786,04/01/25
2645,12000,,,4153,04/01/25
2307,12000,,,710105,04/01/25
3300,12000,,,7387,04/01/25
503,12000,,,0,04/01/25
3413,12000,,,0,04/01/25
3298,12000,,,60,04/01/25
3417,12000,,,4128,04/01/25
3337,12000,,,0,04/01/25
2034,12000,,,0,04/01/25
2629,12000,,,0,04/01/25
328,12000,,,1058607,04/01/25
2877,12000,,,0,04/01/25
3017,12000,,,0,04/01/25
3524,12000,,,0,04/01/25
702,12000,,,46586,04/01/25
3548,12000,,,0,04/01/25
524,12000,,,7485,04/01/25
1144,12000,,,290,04/01/25
902,12000,,,5665,04/01/25
3349,12000,,,50098958,04/01/25
1319,12000,,,600,04/01/25
249,12000,,,178116,04/01/25
1312,12000,,,263,04/01/25
1307,12000,,,836,04/01/25
3340,12000,,,355826,04/01/25
1000,12000,,,130754699,04/01/25
3271,12000,,,1652,04/01/25
256,12000,,,0,04/01/25
3482,12000,,,0,04/01/25
