"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0","DT,D"
212,11114,130697,01/01/16
212,11115,88727,01/01/16
212,11116,0,01/01/16
212,11117,0,01/01/16
212,11118,47712,01/01/16
212,11119,0,01/01/16
212,11200,0,01/01/16
212,11201,0,01/01/16
212,11202,0,01/01/16
212,11203,0,01/01/16
212,11204,0,01/01/16
212,11205,0,01/01/16
212,11206,0,01/01/16
212,11207,0,01/01/16
212,11208,0,01/01/16
212,11209,0,01/01/16
212,11210,0,01/01/16
212,11211,0,01/01/16
212,11212,0,01/01/16
212,11213,0,01/01/16
212,11214,0,01/01/16
212,11215,0,01/01/16
212,11216,0,01/01/16
212,11217,0,01/01/16
212,11300,163,01/01/16
212,11301,0,01/01/16
212,11302,119,01/01/16
212,11303,44,01/01/16
212,11400,131882,01/01/16
212,11401,131882,01/01/16
212,11402,0,01/01/16
212,11403,0,01/01/16
212,11500,47540,01/01/16
212,11501,43356,01/01/16
212,11502,0,01/01/16
212,11503,0,01/01/16
212,11504,0,01/01/16
212,11505,0,01/01/16
212,11506,0,01/01/16
212,11507,0,01/01/16
212,11508,4184,01/01/16
212,11600,0,01/01/16
212,11601,0,01/01/16
212,11602,0,01/01/16
212,11603,0,01/01/16
212,11604,0,01/01/16
212,11605,0,01/01/16
212,11606,0,01/01/16
212,11607,0,01/01/16
212,11608,0,01/01/16
212,12000,415719,01/01/16
212,12100,270175,01/01/16
212,12101,42043,01/01/16
212,12102,228132,01/01/16
212,12200,130645,01/01/16
212,12201,130645,01/01/16
212,12300,13066,01/01/16
212,12301,13066,01/01/16
212,12400,1833,01/01/16
212,12401,0,01/01/16
212,12402,0,01/01/16
212,12403,2,01/01/16
212,12404,1831,01/01/16
212,12405,0,01/01/16
212,12406,0,01/01/16
212,12407,0,01/01/16
212,13000,421,01/01/16
212,13100,143,01/01/16
212,13101,0,01/01/16
212,13102,0,01/01/16
212,13103,0,01/01/16
212,13104,0,01/01/16
212,13105,143,01/01/16
212,13106,0,01/01/16
212,13107,0,01/01/16
212,13108,0,01/01/16
212,13200,278,01/01/16
212,13201,278,01/01/16
212,14000,0,01/01/16
212,14100,0,01/01/16
212,14101,0,01/01/16
212,14102,0,01/01/16
212,14103,0,01/01/16
212,14104,0,01/01/16
212,14200,0,01/01/16
212,14201,0,01/01/16
212,14202,0,01/01/16
212,14203,0,01/01/16
212,14204,0,01/01/16
212,14300,0,01/01/16
212,14301,0,01/01/16
212,14302,0,01/01/16
212,14303,0,01/01/16
212,14304,0,01/01/16
212,14400,0,01/01/16
212,14401,0,01/01/16
212,14402,0,01/01/16
212,14403,0,01/01/16
212,14404,0,01/01/16
212,15000,2518182,01/01/16
212,15100,2518161,01/01/16
212,15101,12546,01/01/16
212,15102,2505081,01/01/16
212,15103,534,01/01/16
212,15200,21,01/01/16
212,15201,0,01/01/16
212,15202,21,01/01/16
212,15203,0,01/01/16
212,15204,0,01/01/16
212,16000,1727622,01/01/16
212,16100,0,01/01/16
212,16101,0,01/01/16
212,16200,19678,01/01/16
212,16201,0,01/01/16
212,16202,0,01/01/16
212,16203,19678,01/01/16
212,16300,1707944,01/01/16
212,16301,5953,01/01/16
212,16302,300,01/01/16
212,16303,0,01/01/16
212,16304,0,01/01/16
212,16305,1679460,01/01/16
212,16306,22231,01/01/16
212,17000,2191,01/01/16
212,17100,95,01/01/16
212,17101,28,01/01/16
212,17102,67,01/01/16
212,17103,0,01/01/16
212,17200,1378,01/01/16
212,17201,1378,01/01/16
212,17202,0,01/01/16
212,17203,0,01/01/16
212,17300,718,01/01/16
212,17301,15,01/01/16
212,17302,315,01/01/16
212,17303,0,01/01/16
212,17304,18,01/01/16
212,17305,356,01/01/16
212,17306,14,01/01/16
212,17307,0,01/01/16
212,20000,5888619,01/01/16
212,20001,749180,01/01/16
212,20002,5096735,01/01/16
212,20003,5542,01/01/16
212,20100,5851457,01/01/16
212,21000,686239,01/01/16
212,21100,1,01/01/16
212,21101,0,01/01/16
212,21102,1,01/01/16
212,21103,0,01/01/16
212,21104,0,01/01/16
212,21200,378,01/01/16
212,21201,0,01/01/16
212,21202,0,01/01/16
212,21203,0,01/01/16
212,21204,0,01/01/16
212,21205,0,01/01/16
212,21206,0,01/01/16
212,21207,0,01/01/16
212,21208,378,01/01/16
212,21209,0,01/01/16
212,21210,0,01/01/16
212,21211,0,01/01/16
212,21212,0,01/01/16
212,21213,0,01/01/16
212,21214,0,01/01/16
212,21300,7781,01/01/16
212,21301,0,01/01/16
212,21302,0,01/01/16
212,21303,0,01/01/16
212,21304,0,01/01/16
212,21305,0,01/01/16
212,21306,0,01/01/16
212,21307,0,01/01/16
212,21308,0,01/01/16
212,21309,0,01/01/16
212,21310,0,01/01/16
212,21311,0,01/01/16
212,21312,5804,01/01/16
212,21313,1977,01/01/16
212,21314,0,01/01/16
212,21315,0,01/01/16
212,21316,0,01/01/16
212,21317,0,01/01/16
212,21400,0,01/01/16
212,21401,0,01/01/16
212,21402,0,01/01/16
212,21403,0,01/01/16
212,21404,0,01/01/16
212,21405,0,01/01/16
212,21406,0,01/01/16
212,21407,0,01/01/16
212,21408,0,01/01/16
212,21409,0,01/01/16
212,21410,0,01/01/16
212,21411,0,01/01/16
212,21412,0,01/01/16
212,21413,0,01/01/16
212,21414,0,01/01/16
212,21415,0,01/01/16
212,21416,0,01/01/16
212,21417,0,01/01/16
212,21500,0,01/01/16
212,21501,0,01/01/16
212,21502,0,01/01/16
212,21600,676698,01/01/16
212,21601,675778,01/01/16
212,21602,920,01/01/16
212,21700,0,01/01/16
212,21701,0,01/01/16
212,21702,0,01/01/16
212,21800,1381,01/01/16
212,21801,0,01/01/16
212,21802,0,01/01/16
212,21803,0,01/01/16
212,21804,1381,01/01/16
212,22000,62941,01/01/16
212,22100,62941,01/01/16
212,22101,62941,01/01/16
212,22200,0,01/01/16
212,22201,0,01/01/16
212,22202,0,01/01/16
212,22203,0,01/01/16
212,22204,0,01/01/16
212,23000,2717,01/01/16
212,23100,2693,01/01/16
212,23101,2457,01/01/16
212,23102,0,01/01/16
212,23103,0,01/01/16
212,23104,0,01/01/16
212,23105,16,01/01/16
212,23106,0,01/01/16
212,23107,0,01/01/16
212,23108,220,01/01/16
212,23109,0,01/01/16
212,23200,24,01/01/16
212,23201,24,01/01/16
212,24000,2500347,01/01/16
212,24100,2500341,01/01/16
212,24101,277,01/01/16
212,24102,2499559,01/01/16
212,24103,505,01/01/16
212,24200,6,01/01/16
212,24201,0,01/01/16
212,24202,6,01/01/16
212,24203,0,01/01/16
212,24204,0,01/01/16
212,25000,2007135,01/01/16
212,25100,0,01/01/16
212,25101,0,01/01/16
212,25200,16901,01/01/16
212,25201,102,01/01/16
212,25202,11206,01/01/16
212,25203,5181,01/01/16
212,25204,0,01/01/16
212,25205,316,01/01/16
212,25206,96,01/01/16
212,25300,1990234,01/01/16
212,25301,0,01/01/16
212,25302,1990234,01/01/16
212,25303,0,01/01/16
212,26000,586536,01/01/16
212,26100,295646,01/01/16
212,26101,201112,01/01/16
212,26102,57328,01/01/16
212,26103,0,01/01/16
212,26104,37206,01/01/16
212,26200,18447,01/01/16
212,26201,18441,01/01/16
212,26202,0,01/01/16
212,26203,6,01/01/16
212,26204,0,01/01/16
212,26300,179095,01/01/16
212,26301,6286,01/01/16
212,26302,22497,01/01/16
212,26303,134268,01/01/16
212,26304,5560,01/01/16
212,26305,7004,01/01/16
212,26306,2563,01/01/16
212,26307,917,01/01/16
212,26400,93348,01/01/16
212,26401,33,01/01/16
212,26402,602,01/01/16
212,26403,30112,01/01/16
212,26404,6400,01/01/16
212,26405,739,01/01/16
212,26406,8359,01/01/16
212,26407,13,01/01/16
212,26408,641,01/01/16
212,26409,48,01/01/16
212,26410,22470,01/01/16
212,26411,16188,01/01/16
212,26412,7743,01/01/16
212,27000,5542,01/01/16
212,27100,20,01/01/16
212,27101,0,01/01/16
212,27102,0,01/01/16
212,27103,20,01/01/16
212,27200,0,01/01/16
212,27201,0,01/01/16
212,27202,0,01/01/16
212,27203,0,01/01/16
212,27300,5522,01/01/16
212,27301,0,01/01/16
212,27302,0,01/01/16
212,27303,1,01/01/16
212,27304,0,01/01/16
212,27305,1498,01/01/16
212,27306,2683,01/01/16
212,27307,0,01/01/16
212,27308,1340,01/01/16
212,27309,20,01/01/16
212,28000,37162,01/01/16
212,28101,37348,01/01/16
212,28102,0,01/01/16
212,28103,186,01/01/16
212,28201,37162,01/01/16
212,28202,0,01/01/16
212,31001,30340,01/01/16
212,31002,0,01/01/16
212,32001,0,01/01/16
212,32002,0,01/01/16
212,32101,0,01/01/16
212,33001,30340,01/01/16
212,33002,0,01/01/16
558,01000,0,01/01/16
558,02000,2656865,01/01/16
558,10000,39009395,01/01/16
558,10001,7856744,01/01/16
558,10002,30638106,01/01/16
558,10003,514545,01/01/16
558,11000,4115981,01/01/16
558,11100,4071158,01/01/16
558,11101,0,01/01/16
558,11102,0,01/01/16
558,11103,0,01/01/16
558,11104,0,01/01/16
558,11105,0,01/01/16
558,11106,0,01/01/16
558,11107,0,01/01/16
558,11108,0,01/01/16
558,11109,0,01/01/16
558,11110,0,01/01/16
558,11111,168504,01/01/16
558,11112,817310,01/01/16
558,11113,0,01/01/16
558,11114,0,01/01/16
558,11115,3050535,01/01/16
558,11116,0,01/01/16
558,11117,8,01/01/16
558,11118,34801,01/01/16
558,11119,0,01/01/16
558,11200,0,01/01/16
558,11201,0,01/01/16
558,11202,0,01/01/16
558,11203,0,01/01/16
558,11204,0,01/01/16
558,11205,0,01/01/16
558,11206,0,01/01/16
558,11207,0,01/01/16
558,11208,0,01/01/16
558,11209,0,01/01/16
558,11210,0,01/01/16
558,11211,0,01/01/16
558,11212,0,01/01/16
558,11213,0,01/01/16
558,11214,0,01/01/16
558,11215,0,01/01/16
558,11216,0,01/01/16
558,11217,0,01/01/16
558,11300,4856,01/01/16
558,11301,0,01/01/16
558,11302,4856,01/01/16
558,11303,0,01/01/16
558,11400,308,01/01/16
558,11401,308,01/01/16
558,11402,0,01/01/16
558,11403,0,01/01/16
558,11500,39659,01/01/16
558,11501,0,01/01/16
558,11502,0,01/01/16
558,11503,0,01/01/16
558,11504,0,01/01/16
558,11505,0,01/01/16
558,11506,0,01/01/16
558,11507,0,01/01/16
558,11508,39659,01/01/16
558,11600,0,01/01/16
558,11601,0,01/01/16
558,11602,0,01/01/16
558,11603,0,01/01/16
558,11604,0,01/01/16
558,11605,0,01/01/16
558,11606,0,01/01/16
558,11607,0,01/01/16
558,11608,0,01/01/16
558,12000,3740763,01/01/16
558,12100,142135,01/01/16
558,12101,964,01/01/16
558,12102,141171,01/01/16
558,12200,3437213,01/01/16
558,12201,3437213,01/01/16
558,12300,160783,01/01/16
558,12301,160783,01/01/16
558,12400,632,01/01/16
558,12401,547,01/01/16
558,12402,0,01/01/16
558,12403,0,01/01/16
558,12404,85,01/01/16
558,12405,0,01/01/16
558,12406,0,01/01/16
558,12407,0,01/01/16
558,13000,189145,01/01/16
558,13100,93536,01/01/16
558,13101,0,01/01/16
558,13102,0,01/01/16
558,13103,0,01/01/16
558,13104,1537,01/01/16
558,13105,0,01/01/16
558,13106,0,01/01/16
558,13107,0,01/01/16
558,13108,91999,01/01/16
558,13200,95609,01/01/16
558,13201,95609,01/01/16
558,14000,0,01/01/16
558,14100,0,01/01/16
558,14101,0,01/01/16
558,14102,0,01/01/16
558,14103,0,01/01/16
558,14104,0,01/01/16
558,14200,0,01/01/16
558,14201,0,01/01/16
558,14202,0,01/01/16
558,14203,0,01/01/16
558,14204,0,01/01/16
558,14300,0,01/01/16
558,14301,0,01/01/16
558,14302,0,01/01/16
558,14303,0,01/01/16
558,14304,0,01/01/16
558,14400,0,01/01/16
558,14401,0,01/01/16
558,14402,0,01/01/16
558,14403,0,01/01/16
558,14404,0,01/01/16
558,15000,19977129,01/01/16
558,15100,19977129,01/01/16
558,15101,33403,01/01/16
558,15102,19943726,01/01/16
558,15103,0,01/01/16
558,15200,0,01/01/16
558,15201,0,01/01/16
558,15202,0,01/01/16
558,15203,0,01/01/16
558,15204,0,01/01/16
558,16000,10471832,01/01/16
558,16100,42458,01/01/16
558,16101,42458,01/01/16
558,16200,72039,01/01/16
558,16201,47309,01/01/16
558,16202,0,01/01/16
558,16203,24730,01/01/16
558,16300,10357335,01/01/16
558,16301,29909,01/01/16
558,16302,389,01/01/16
558,16303,0,01/01/16
558,16304,0,01/01/16
558,16305,10311945,01/01/16
558,16306,15092,01/01/16
558,17000,514545,01/01/16
558,17100,99891,01/01/16
558,17101,81369,01/01/16
558,17102,18522,01/01/16
558,17103,0,01/01/16
558,17200,6345,01/01/16
558,17201,5410,01/01/16
558,17202,749,01/01/16
558,17203,186,01/01/16
558,17300,408309,01/01/16
558,17301,340000,01/01/16
558,17302,1014,01/01/16
558,17303,0,01/01/16
558,17304,15,01/01/16
558,17305,1,01/01/16
558,17306,67279,01/01/16
558,17307,0,01/01/16
558,20000,41666260,01/01/16
558,20001,6534800,01/01/16
558,20002,35106966,01/01/16
558,20003,24494,01/01/16
558,20100,41666260,01/01/16
558,21000,2963589,01/01/16
558,21100,102,01/01/16
558,21101,0,01/01/16
558,21102,102,01/01/16
558,21103,0,01/01/16
558,21104,0,01/01/16
558,21200,61457,01/01/16
558,21201,0,01/01/16
558,21202,0,01/01/16
558,21203,0,01/01/16
558,21204,0,01/01/16
558,21205,225,01/01/16
558,21206,0,01/01/16
558,21207,19417,01/01/16
558,21208,41011,01/01/16
558,21209,278,01/01/16
558,21210,485,01/01/16
558,21211,0,01/01/16
558,21212,41,01/01/16
558,21213,0,01/01/16
558,21214,0,01/01/16
558,21300,187358,01/01/16
558,21301,0,01/01/16
558,21302,0,01/01/16
558,21303,0,01/01/16
558,21304,0,01/01/16
558,21305,0,01/01/16
558,21306,0,01/01/16
558,21307,0,01/01/16
558,21308,0,01/01/16
558,21309,1213,01/01/16
558,21310,0,01/01/16
558,21311,508,01/01/16
558,21312,134115,01/01/16
558,21313,51522,01/01/16
558,21314,0,01/01/16
558,21315,0,01/01/16
558,21316,0,01/01/16
558,21317,0,01/01/16
558,21400,37519,01/01/16
558,21401,0,01/01/16
558,21402,0,01/01/16
558,21403,0,01/01/16
558,21404,0,01/01/16
558,21405,0,01/01/16
558,21406,0,01/01/16
558,21407,30297,01/01/16
558,21408,0,01/01/16
558,21409,0,01/01/16
558,21410,0,01/01/16
558,21411,0,01/01/16
558,21412,0,01/01/16
558,21413,0,01/01/16
558,21414,0,01/01/16
558,21415,7222,01/01/16
558,21416,0,01/01/16
558,21417,0,01/01/16
558,21500,6259,01/01/16
558,21501,4802,01/01/16
558,21502,1457,01/01/16
558,21600,2668739,01/01/16
558,21601,2649012,01/01/16
558,21602,19727,01/01/16
558,21700,0,01/01/16
558,21701,0,01/01/16
558,21702,0,01/01/16
558,21800,2155,01/01/16
558,21801,0,01/01/16
558,21802,0,01/01/16
558,21803,0,01/01/16
558,21804,2155,01/01/16
558,22000,3571211,01/01/16
558,22100,3459156,01/01/16
558,22101,3459156,01/01/16
558,22200,112055,01/01/16
558,22201,111052,01/01/16
558,22202,0,01/01/16
558,22203,0,01/01/16
558,22204,1003,01/01/16
558,23000,15773,01/01/16
558,23100,12645,01/01/16
558,23101,0,01/01/16
558,23102,0,01/01/16
558,23103,0,01/01/16
558,23104,0,01/01/16
558,23105,0,01/01/16
558,23106,0,01/01/16
558,23107,0,01/01/16
558,23108,12645,01/01/16
558,23109,0,01/01/16
558,23200,3128,01/01/16
558,23201,3128,01/01/16
558,24000,19375305,01/01/16
558,24100,19375305,01/01/16
558,24101,0,01/01/16
558,24102,19375305,01/01/16
558,24103,0,01/01/16
558,24200,0,01/01/16
558,24201,0,01/01/16
558,24202,0,01/01/16
558,24203,0,01/01/16
558,24204,0,01/01/16
558,25000,10866243,01/01/16
558,25100,9372,01/01/16
558,25101,9372,01/01/16
558,25200,89554,01/01/16
558,25201,6578,01/01/16
558,25202,15863,01/01/16
558,25203,29843,01/01/16
558,25204,0,01/01/16
558,25205,36828,01/01/16
558,25206,442,01/01/16
558,25300,10767317,01/01/16
558,25301,0,01/01/16
558,25302,10762051,01/01/16
