"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254"
141,10,15102," Средств в иностранной валюте (балансовый счет №70603, при составлении годового отчета - балансовый счет №70703)"
142,10,15103, Драгоценных металлов (балансовый счет №70604 при составлении годового отчета - балансовый счет №70704)
143,120,15100,Итого по символам 15101-15103
144,20,,"2. Доходы от применения  встроенных производных инструментов, не отделяемых от основного договора (балансовый счет №70605, при составлении годового отчета - балансовый счет №70705):"
145,10,15201, От изменения курса ценной бумаги
146,10,15202, От изменения валютного курса
147,10,15203, От изменения индекса цен
148,10,15204, От изменения других переменных
149,120,15200,Итого по символам 15201-15204
150,130,15000,Итого по разделу 5
151,30,,Раздел 6. Другие операционные доходы
152,20,,1. Доходы от расчетных (беспоставочных) срочных сделок
153,10,16101, От изменения ставки процента
154,10,16102, От изменения курса ценной бумаги
155,10,16103, От изменения валютного курса
156,10,16104, От изменения индекса цен
157,10,16105, От изменения других переменных
158,120,16100,Итого по символам 16101-16105
159,20,,2. Комиссионные вознаграждения
160,10,16201, За проведение операций с валютными ценностями
161,10,16202, От оказания посреднических услуг по брокерским и аналогичным договорам
162,10,16203, По другим операциям
163,120,16200,Итого по символам 16201-16203
164,20,,3. Другие операционные доходы
165,10,16301, От сдачи имущества в аренду
166,10,16302, От выбытия (реализации) имущества
167,10,16303, От дооценки основных средств после их уценки
168,10,16304, От передачи активов в доверительное управление
169,10,16305," От восстановления сумм резервов на возможные потери, кроме резервов под условные обязательства некредитного характера"
170,10,16306, Прочие операционные доходы
171,120,16300,Итого по символам 16301-16306
172,130,16000,Итого по разделу 6
173,140,10002,"Итого по группе доходов Б ""Операционные доходы"" (3-6 разделы)"
174,40,,В. Прочие доходы
175,30,,Раздел 7. Прочие доходы
176,20,,"1. Штрафы, пени, неустойки"
177,10,17101, По операциям привлечения и предоставления (размещения) денежных средств
178,10,17102, По другим банковским операциям и сделкам
179,10,17103, По прочим (хозяйственным) операциям
180,120,17100,Итого по символам 17101-17103
181,20,,"2. Доходы прошлых лет, выявленные в отчетном году"
182,10,17201, По операциям привлечения и предоставления (размещения) денежных средств
183,10,17202, По другим банковским операциям и сделкам
184,10,17203, По прочим (хозяйственным) операциям
